ID,Date,Temperature(C),Humidity(%),WindSpeed(km/h),Rain(mm),TrafficVolume(vehicles/hour),NO2(µg/m3),SO2(µg/m3),CO(mg/m3),PM2.5(µg/m3),PM10(µg/m3),Season,Region,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI Value,AQI Category,Country,lat,lng
1,2023-01-01,32.5,56.7,14.7,2.5,882.0,41.4,9.7,0.25,77.8,111.3,Winter,Rural,162.5,78.9,39.1,13.9,2.8,162.5,Unhealthy,Bulgaria,42.5,23.0
2,2023-01-02,29.3,54.9,14.6,0.5,2629.0,29.0,11.5,1.32,45.3,98.6,Spring,Rural,125.1,72.6,27.4,16.4,15.0,125.1,Unhealthy for Sensitive Groups,Serbia,44.5,20.2
3,2023-01-03,33.2,61.5,21.0,6.3,2350.0,45.5,22.2,0.63,63.6,77.8,Winter,Rural,155.2,62.3,42.9,31.7,7.2,155.2,Unhealthy,North Macedonia,41.8,21.2
4,2023-01-04,37.6,67.7,15.1,4.9,1331.0,33.4,19.8,1.11,75.0,100.2,Spring,Rural,161.1,73.4,31.5,28.3,12.6,161.1,Unhealthy,Portugal,38.5,-8.0
5,2023-01-05,28.8,83.8,12.9,0.5,3200.0,39.1,21.1,1.13,63.3,117.6,Fall,Urban,155.0,82.0,36.9,30.1,12.8,155.0,Unhealthy,United Kingdom,51.5074,-0.1278
6,2023-01-06,28.8,68.3,20.2,1.7,3281.0,43.1,21.4,0.02,52.1,71.1,Fall,Rural,141.9,59.0,40.7,30.6,0.2,141.9,Unhealthy for Sensitive Groups,Bulgaria,42.5,23.0
7,2023-01-07,37.9,71.6,15.6,2.5,3981.0,20.6,12.7,0.52,60.2,134.9,Winter,Rural,153.4,90.5,19.4,18.1,5.9,153.4,Unhealthy,Bulgaria,42.5,23.0
8,2023-01-08,33.8,54.9,11.2,3.7,2617.0,23.9,16.5,0.86,74.4,111.5,Spring,Rural,160.8,79.0,22.5,23.6,9.8,160.8,Unhealthy,Spain,37.5,-4.5
9,2023-01-09,27.7,49.7,20.8,2.1,4982.0,49.1,15.4,0.22,63.9,111.9,Winter,Urban,155.3,79.2,46.3,22.0,2.5,155.3,Unhealthy,Denmark,55.6759,12.5655
10,2023-01-10,32.7,60.6,16.0,0.0,2506.0,33.4,18.3,0.6,59.9,100.0,Summer,Rural,153.3,73.3,31.5,26.1,6.8,153.3,Unhealthy,North Macedonia,41.8,21.2
